course_id,course_title,section_id,section_title,task_id,task_title,task_type,ai_enabled,deliverable,competencies,section_skills
DBI-701,Human-Centered Business Innovation Foundations,S1,Innovation Context and Problem Definition,T1.1,Business Problem Brief,Applied framing,Use AG-DBI-01 to iterate framing alternatives and identify weak assumptions.,Problem framing brief with assumption register,C1.1,Problem statement quality | Assumption mapping | Constraint identification | Opportunity framing
DBI-701,Human-Centered Business Innovation Foundations,S1,Innovation Context and Problem Definition,T1.2,Context Scan,Research task,Use AG-DBI-01 and AG-DBI-10 to summarize context signals and decision implications.,Context map and summary narrative,C1.1,Problem statement quality | Assumption mapping | Constraint identification | Opportunity framing
DBI-701,Human-Centered Business Innovation Foundations,S2,Stakeholder and System Mapping,T2.1,Stakeholder Influence Map,Mapping artifact,Use AG-DBI-01 to model stakeholder priorities and risks.,Stakeholder influence and alignment map,C1.2 | C1.3,Stakeholder analysis | Systems thinking | Trade-off analysis | Decision criteria
DBI-701,Human-Centered Business Innovation Foundations,S2,Stakeholder and System Mapping,T2.2,System Constraint Matrix,Analytical task,Use AG-DBI-04 to identify service and process dependencies.,Constraint matrix with design implications,C1.2 | C1.3,Stakeholder analysis | Systems thinking | Trade-off analysis | Decision criteria
DBI-701,Human-Centered Business Innovation Foundations,S3,Human-Centered Decision Design,T3.1,Innovation Option Set,Design exercise,Use AG-DBI-05 for concept critique and iteration planning.,Ranked option set with evidence rationale,C1.3 | C1.4,Option generation | Evidence-supported prioritization | Inclusive design criteria | Narrative logic
DBI-701,Human-Centered Business Innovation Foundations,S3,Human-Centered Decision Design,T3.2,Decision Memo Draft,Communication artifact,Use AG-DBI-10 to stress-test recommendation clarity.,Executive decision memo draft,C1.3 | C1.4,Option generation | Evidence-supported prioritization | Inclusive design criteria | Narrative logic
DBI-701,Human-Centered Business Innovation Foundations,S4,Course Summative Assessment,T4.1,Innovation Framing Dossier,Summative performance assessment,Use AG-DBI-01 and AG-DBI-10 to refine and defend problem framing and option pathway.,"Framing dossier, stakeholder map, and executive presentation",C1.1 | C1.2 | C1.3 | C1.4,Integrated framing | Stakeholder alignment | Executive communication | Decision defense
DBI-702,Applied Research and Evidence Synthesis for Innovation,S1,Research Design for Business Questions,T1.1,Research Plan,Planning artifact,Use AG-DBI-02 to compare methods and draft a phased plan.,Mixed-method research plan and instrument blueprint,C2.1,Research question design | Method selection | Sampling strategy | Risk and bias planning
DBI-702,Applied Research and Evidence Synthesis for Innovation,S1,Research Design for Business Questions,T1.2,Research Protocol Review,Quality check,Use AG-DBI-02 to identify protocol gaps and ethical risks.,Protocol checklist and revisions,C2.1,Research question design | Method selection | Sampling strategy | Risk and bias planning
DBI-702,Applied Research and Evidence Synthesis for Innovation,S2,Fieldwork and Data Integrity,T2.1,Fieldwork Log,Execution artifact,Use AG-DBI-03 to structure evidence capture and quality notes.,Fieldwork log with quality annotations,C2.2,Interviewing | Survey administration | Data quality auditing | Ethical handling
DBI-702,Applied Research and Evidence Synthesis for Innovation,S2,Fieldwork and Data Integrity,T2.2,Data Integrity Audit,Analytical audit,Use AG-DBI-03 to flag data gaps and confidence limits.,Data integrity and confidence report,C2.2,Interviewing | Survey administration | Data quality auditing | Ethical handling
DBI-702,Applied Research and Evidence Synthesis for Innovation,S3,Insight Synthesis and Recommendation Logic,T3.1,Insight Synthesis Deck,Synthesis artifact,Use AG-DBI-03 and AG-DBI-10 to construct traceable insight narratives.,Insight synthesis deck with evidence trace table,C2.3 | C2.4,Thematic synthesis | Insight storytelling | Evidence traceability | Recommendation framing
DBI-702,Applied Research and Evidence Synthesis for Innovation,S3,Insight Synthesis and Recommendation Logic,T3.2,Recommendation Boundaries Brief,Decision support,Use AG-DBI-10 to draft recommendation boundaries and risk assumptions.,Decision boundaries brief,C2.3 | C2.4,Thematic synthesis | Insight storytelling | Evidence traceability | Recommendation framing
DBI-702,Applied Research and Evidence Synthesis for Innovation,S4,Course Summative Assessment,T4.1,Research-to-Decision Portfolio Package,Summative performance assessment,"Use AG-DBI-02, AG-DBI-03, and AG-DBI-10 for final polish and consistency checks.","Research plan, evidence package, and executive recommendation narrative",C2.1 | C2.2 | C2.3 | C2.4,Research rigor | Evidence synthesis | Insight communication | Decision readiness
DBI-703,Service and Systems Innovation Design,S1,Journey and Service Blueprinting,T1.1,Current-State Experience Map,Mapping artifact,Use AG-DBI-04 to structure current journey and pain-point clusters.,Current-state journey and service blueprint,C3.1,Journey mapping | Service blueprinting | Touchpoint analysis | Failure-point detection
