segment,provider,program,format,duration,time_commitment,price_usd,agentic_ai_depth,competency_based,wgu_gap_opportunity,source_id
Direct Degree Competitor,Parsons School of Design,MS Strategic Design and Management,"Graduate degree, design + business",Varies by enrollment path,Varies,,Low-Moderate,No,"Differentiate with fully online CBE, AI Studio persistence, and embedded agentic certificate",SRC-COMP-PARSONS
Direct Degree Competitor,SCAD,MA Design Management,Graduate degree,Varies by enrollment path,Varies,,Low,No,"Position MS DBI as no-code, evidence-led, and explicitly AI-enabled for business innovation",SRC-COMP-SCAD
Direct Degree Competitor,Carnegie Mellon University,Master of Human-Computer Interaction (MHCI),Cohort graduate program,Typically full-time model,High,,Moderate,No,"Differentiate as explicitly no-code, business-innovation oriented, and accessible to working professionals online",SRC-COMP-CMU
Direct Degree Competitor,Bentley University,MS Human Factors in Information Design,Graduate degree,Varies,Varies,,Low-Moderate,No,Differentiate with service/system innovation and implementation leadership artifacts,SRC-COMP-BENTLEY
Direct Degree Competitor,OCAD University,MDes Strategic Foresight and Innovation,Graduate design and foresight degree,Varies,Varies,,Low-Moderate,No,"Differentiate with CBE progression, always-on AI Studio, and workforce-ready portfolio artifacts",SRC-COMP-OCAD
Direct Degree Competitor,Illinois Institute of Technology,Master of Design (Institute of Design),Graduate design degree,Varies,Varies,,Moderate,No,"Differentiate with online accessibility, term-based CBE flexibility, and embedded certificate stack",SRC-COMP-IIT-ID
Adjacent Degree Competitor,California College of the Arts,MBA in Design Strategy,Design-business graduate degree,Varies,Varies,,Low-Moderate,No,Differentiate with CBE model and explicit AI agent implementation outcomes,SRC-COMP-CCA
Adjacent Degree Competitor,School of Visual Arts,MFA Design for Social Innovation,Graduate design innovation program,Varies,Varies,,Low,No,Differentiate with business optimization outcomes and CBE-aligned implementation evidence,SRC-COMP-SVA
Internal WGU Adjacent,WGU,MS Marketing,"Fully online, competency-based",Flexible,Flexible,,Moderate,Yes,Maintain distinction: MS DBI centers service/experience/system innovation and design-led implementation,SRC-COMP-WGU-MSMKT
Internal WGU Adjacent,WGU,Project Management Certificate,Online certificate,Varies,Varies,,Low,Varies by pathway,Differentiate by design-led innovation and decision-quality artifact development,SRC-COMP-WGU-PM
AI Certificate Competitor,Wharton Executive Education,AI for Business,"Self-paced, 100% online",4-6 weeks,~2 hours/week,850,Low-Moderate,No,Differentiate with graduate-level mastery artifacts and program-embedded continuity,SRC-COMP-WHARTON-AI
AI Certificate Competitor,MIT Sloan Executive Education,Artificial Intelligence: Implications for Business Strategy,Self-paced online,6 weeks,6-8 hours/week,3850,Moderate,No,Differentiate with lower-friction tuition model and applied design/innovation workflow outcomes,SRC-COMP-MIT-AI
AI Certificate Competitor,Harvard Business School Online,AI Essentials for Business,Self-paced with deadlines,4 weeks,4-6 hours/week,1850,Low-Moderate,No,Differentiate with multi-course embedded certificate progression and capstone defense,SRC-COMP-HBS-AI
AI Certificate Competitor,Kellogg Executive Education,AI Strategies for Business Transformation: Generative and Agentic Intelligence,Online cohort-style modules,8 modules over 9 weeks,4-6 hours/week,,High,No,Differentiate with full graduate pathway and competency-based evaluation structure,SRC-COMP-KELLOGG-AI
AI Certificate Competitor,Columbia Business School Executive Education,AI for Business & Finance Certificate Program,Self-paced online,8 weeks,8-10 hours/week,5000,Moderate,No,Differentiate with discipline-agnostic business-case flexibility tied to degree pathways,SRC-COMP-COLUMBIA-AI
AI Certificate Competitor,Google/Coursera,Google AI Essentials Specialization,Self-paced online,Under 10 hours (5-course series),Flexible,,Low,No,"Differentiate with graduate rigor, portfolio evidence, and implementation accountability",SRC-COMP-GOOGLE-AI
AI Certificate Competitor,eCornell,Artificial Intelligence Strategy Certificate,Online certificate,Multi-course short program,Varies by schedule,,Moderate,No,Differentiate with integrated MS + embedded certificate outcomes and CBE mastery model,SRC-COMP-ECORNELL-AI
